vm_id,cores,mem
vm_00489,2,8192
vm_00490,2,8192
vm_00491,2,2048
vm_00492,8,32768
vm_00493,2,8192
vm_00494,2,4096
vm_00495,2,8192
vm_00496,2,8192
vm_00497,2,8192
vm_00498,2,8192
vm_00499,4,8192
vm_00500,2,8192
vm_00501,2,4096
vm_00502,4,32768
vm_00503,2,8192
vm_00504,2,8192
vm_00505,2,8192
vm_00506,4,32768
vm_00507,2,8192
vm_00508,2,8192
vm_00509,4,8192
vm_00510,4,32768
vm_00511,2,4096
vm_00512,4,32768
vm_00513,8,32768
vm_00514,2,8192
vm_00515,2,4096
vm_00516,24,65536
vm_00517,2,8192
vm_00518,2,2048
vm_00519,2,8192
vm_00520,2,8192
vm_00521,4,65536
vm_00522,8,32768
vm_00523,2,8192
vm_00524,2,8192
vm_00525,2,2048
vm_00526,4,32768
vm_00527,2,8192
vm_00528,2,4096
vm_00529,8,32768
vm_00530,2,2048
vm_00531,2,8192
vm_00532,4,32768
vm_00533,2,8192
vm_00534,2,4096
vm_00535,4,32768
vm_00536,2,8192
vm_00537,2,8192
vm_00538,4,32768
vm_00539,2,8192
vm_00540,4,32768
vm_00541,4,32768
vm_00542,4,65536
vm_00543,2,8192
vm_00544,2,8192
vm_00545,4,32768
vm_00546,2,8192
vm_00547,2,8192
vm_00548,4,32768
vm_00549,4,32768
vm_00550,2,8192
vm_00551,2,8192
vm_00552,4,32768
vm_00553,4,32768
vm_00554,2,8192
vm_00555,2,2048
vm_00556,2,2048
vm_00557,2,4096
vm_00558,4,32768
vm_00559,4,32768
vm_00560,4,8192
vm_00561,4,32768
vm_00562,2,4096
vm_00563,4,32768
vm_00564,2,2048
vm_00565,4,32768
vm_00566,24,65536
vm_00567,2,4096
vm_00568,2,4096
vm_00569,4,32768
vm_00570,4,32768
vm_00571,2,8192
vm_00572,2,4096
vm_00573,4,32768
vm_00574,2,8192
vm_00575,24,65536
vm_00576,2,4096
vm_00577,8,32768
vm_00578,4,32768
vm_00579,2,8192
vm_00580,2,8192
vm_00581,2,2048
vm_00582,8,32768
vm_00583,2,8192
vm_00584,8,32768
vm_00585,4,8192
vm_00586,4,32768
vm_00587,4,32768
vm_00588,24,65536
vm_00589,8,32768
vm_00590,2,8192
vm_00591,2,8192
vm_00592,2,8192
vm_00593,8,32768
vm_00594,2,4096
vm_00595,4,32768
vm_00596,4,32768
vm_00597,2,8192
vm_00598,2,8192
vm_00599,2,2048
vm_00600,2,8192
vm_00601,4,32768
vm_00602,2,2048
vm_00603,4,32768
vm_00604,2,4096
vm_00605,2,8192
vm_00606,2,8192
vm_00607,4,32768
vm_00608,2,8192
vm_00609,2,8192
vm_00610,2,4096
vm_00611,4,8192
vm_00612,4,32768
vm_00613,2,2048
vm_00614,4,32768
vm_00615,2,8192
vm_00616,2,4096
vm_00617,2,2048
vm_00618,4,8192
vm_00619,2,8192
vm_00620,2,8192
vm_00621,2,4096
vm_00622,2,8192
vm_00623,4,32768
vm_00624,2,8192
vm_00625,2,4096
vm_00626,2,8192
vm_00627,2,2048
vm_00628,2,8192
vm_00629,4,32768
vm_00630,2,8192
vm_00631,8,32768
vm_00632,4,32768
vm_00633,2,2048
vm_00634,4,32768
vm_00635,4,65536
vm_00636,8,32768
vm_00637,2,8192
vm_00638,2,4096
vm_00639,4,32768
vm_00640,2,8192
vm_00641,2,4096
vm_00642,24,65536
vm_00643,8,32768
vm_00644,8,32768
vm_00645,2,8192
vm_00646,2,8192
vm_00647,2,8192
vm_00648,2,8192
vm_00649,4,8192
vm_00650,2,8192
vm_00651,2,8192
vm_00652,4,32768
vm_00653,2,2048
